tkr,td,op,hp,lp,cp,vol,oi,eod
GRMOVER,2024-07-29T00:00:00,206.98,209.75,200.61,202.79,145722,0,True
BEDMUTHA,2024-07-29T00:00:00,223.7,225.0,215.0,217.72,26005,0,True
SUKHJITS,2024-07-29T00:00:00,529.95,546.65,527.5,532.2,64602,0,True
ESTER,2024-07-29T00:00:00,114.29,138.93,113.95,138.93,5677312,0,True
WSI,2024-07-29T00:00:00,170.95,172.0,164.0,166.81,282292,0,True
TNPETRO,2024-07-29T00:00:00,104.7,105.85,102.5,102.77,546469,0,True
FOODSIN,2024-07-29T00:00:00,155.9,157.45,149.5,150.72,204595,0,True
THEINVEST,2024-07-29T00:00:00,176.65,185.48,176.65,183.92,20059,0,True
TBZ,2024-07-29T00:00:00,147.2,152.36,147.2,148.53,613798,0,True
KECL,2024-07-29T00:00:00,234.8,238.99,231.5,233.77,480787,0,True
EMAMIPAP,2024-07-29T00:00:00,134.0,138.75,134.0,137.17,98423,0,True
LOKESHMACH,2024-07-29T00:00:00,428.0,437.9,416.55,425.45,40481,0,True
AVG,2024-07-29T00:00:00,511.2,511.55,495.0,505.25,41181,0,True
DMCC,2024-07-29T00:00:00,303.0,303.0,294.0,297.0,16264,0,True
BIRLACABLE,2024-07-29T00:00:00,291.0,293.99,284.1,287.76,186159,0,True
JGCHEM,2024-07-29T00:00:00,265.9,268.9,255.2,257.29,209946,0,True
KRITI,2024-07-29T00:00:00,230.0,232.92,212.31,232.92,702768,0,True
ELIN,2024-07-29T00:00:00,197.0,202.81,195.32,197.79,157052,0,True
DPWIRES,2024-07-29T00:00:00,434.95,437.25,429.05,429.8,35882,0,True
OCCL,2024-07-29T00:00:00,340.0,344.5,326.25,334.8,49694,0,True
MUNJALSHOW,2024-07-29T00:00:00,166.0,168.61,161.84,163.1,229367,0,True
MMP,2024-07-29T00:00:00,336.0,358.45,335.4,337.65,363772,0,True
JAYAGROGN,2024-07-29T00:00:00,308.6,310.9,302.0,303.65,25025,0,True
SREEL,2024-07-29T00:00:00,315.5,320.0,306.6,307.85,55077,0,True
SPMLINFRA,2024-07-29T00:00:00,198.15,208.05,191.5,196.33,320905,0,True
BHAGERIA,2024-07-29T00:00:00,166.55,172.0,166.55,169.65,45196,0,True
VALIANTLAB,2024-07-29T00:00:00,140.0,140.0,135.52,135.86,106073,0,True
MENONBE,2024-07-29T00:00:00,131.0,138.3,130.25,134.99,147629,0,True
KILITCH,2024-07-29T00:00:00,358.55,370.15,356.05,361.25,14541,0,True
PAVNAIND,2024-07-29T00:00:00,477.5,499.9,473.2,484.8,62563,0,True
APEX,2024-07-29T00:00:00,292.98,294.4,280.2,282.74,804924,0,True
KAMATHOTEL,2024-07-29T00:00:00,234.0,237.9,225.77,228.54,54510,0,True
RUBYMILLS,2024-07-29T00:00:00,236.7,244.7,236.23,238.92,39309,0,True
LGHL,2024-07-29T00:00:00,306.2,306.2,291.05,292.05,2623,0,True
PRIMESECU,2024-07-29T00:00:00,266.9,266.9,259.1,264.6,64897,0,True
RBZJEWEL,2024-07-29T00:00:00,130.15,136.0,130.15,133.9,47688,0,True
PLASTIBLEN,2024-07-29T00:00:00,313.65,313.65,301.3,305.25,43402,0,True
PDMJEPAPER,2024-07-29T00:00:00,126.99,126.99,122.01,123.28,184324,0,True
INDSWFTLAB,2024-07-29T00:00:00,142.45,148.39,140.51,144.47,4558677,0,True
STEL,2024-07-29T00:00:00,450.0,455.9,436.0,437.5,11763,0,True
SIMPLEXINF,2024-07-29T00:00:00,152.9,152.9,141.01,143.14,132101,0,True
VINYLINDIA,2024-07-29T00:00:00,404.0,413.9,401.3,408.2,43846,0,True
HINDCOMPOS,2024-07-29T00:00:00,556.65,592.75,556.65,582.9,28379,0,True
DEEPENR,2024-07-29T00:00:00,173.46,177.78,168.85,172.3,45464,0,True
SHREYAS,2024-07-29T00:00:00,401.9,404.4,389.0,390.85,145488,0,True
SKMEGGPROD,2024-07-29T00:00:00,273.75,274.8,260.9,264.85,126694,0,True
RATNAVEER,2024-07-29T00:00:00,200.0,208.11,195.2,196.52,1114978,0,True
KHADIM,2024-07-29T00:00:00,382.25,417.25,382.25,408.8,470629,0,True
BIRLAMONEY,2024-07-29T00:00:00,166.41,168.01,163.56,165.48,250545,0,True
BBTCL,2024-07-29T00:00:00,242.6,248.31,242.6,243.57,1808,0,True
GEECEE,2024-07-29T00:00:00,380.0,390.0,375.5,380.95,24768,0,True
RACE,2024-07-29T00:00:00,419.2,421.8,409.05,412.9,17254,0,True
RITCO,2024-07-29T00:00:00,319.9,330.0,318.65,327.15,178932,0,True
BALAXI,2024-07-29T00:00:00,113.0,121.0,113.0,119.88,62433,0,True
PYRAMID,2024-07-29T00:00:00,194.0,202.53,188.57,199.5,751121,0,True
REMSONSIND,2024-07-29T00:00:00,188.95,191.2,184.55,188.4,25948,0,True
UFO,2024-07-29T00:00:00,132.25,145.25,131.0,141.83,1983858,0,True
INDOBORAX,2024-07-29T00:00:00,190.0,194.58,187.81,189.83,104550,0,True
MOLDTECH,2024-07-29T00:00:00,266.85,267.65,255.5,256.45,230636,0,True
MINDTECK,2024-07-29T00:00:00,438.4,441.9,416.15,430.7,373712,0,True
20MICRONS,2024-07-29T00:00:00,263.01,294.8,256.1,277.9,6258523,0,True
ORIENTBELL,2024-07-29T00:00:00,410.0,411.8,400.3,402.7,32873,0,True
DONEAR,2024-07-29T00:00:00,143.8,144.79,138.61,140.28,265122,0,True
CAREERP,2024-07-29T00:00:00,487.3,505.0,478.05,497.7,74498,0,True
SHREEPUSHK,2024-07-29T00:00:00,244.0,250.08,239.84,246.31,92401,0,True
DIAMINESQ,2024-07-29T00:00:00,640.0,640.0,588.05,597.75,74904,0,True
SILINV,2024-07-29T00:00:00,583.9,605.95,566.05,592.05,11356,0,True
BANSWRAS,2024-07-29T00:00:00,173.88,173.88,169.0,170.01,76872,0,True
APCL,2024-07-29T00:00:00,202.85,202.85,198.72,201.13,14361,0,True
NAHARINDUS,2024-07-29T00:00:00,157.45,162.0,155.8,158.65,331412,0,True
SGIL,2024-07-29T00:00:00,345.95,360.0,345.95,356.4,39483,0,True
MEDICAMEQ,2024-07-29T00:00:00,450.0,455.3,440.35,442.95,30980,0,True
TPLPLASTEH,2024-07-29T00:00:00,106.75,109.72,105.17,109.72,957442,0,True
RSSOFTWARE,2024-07-29T00:00:00,279.0,279.0,266.41,266.85,135765,0,True
WANBURY,2024-07-29T00:00:00,222.45,222.45,214.1,215.9,488565,0,True
KANORICHEM,2024-07-29T00:00:00,125.8,129.0,124.93,126.46,61253,0,True
VSTL,2024-07-29T00:00:00,293.0,298.8,282.0,290.8,164689,0,True
LIBERTSHOE,2024-07-29T00:00:00,479.85,515.9,467.25,514.0,482634,0,True
GLOBAL,2024-07-29T00:00:00,167.5,176.68,167.5,176.68,36658,0,True
TVSELECT,2024-07-29T00:00:00,368.45,377.0,367.5,369.35,86212,0,True
KRITINUT,2024-07-29T00:00:00,114.0,125.78,114.0,124.32,334743,0,True
NAHARCAP,2024-07-29T00:00:00,326.2,336.0,326.2,330.95,66543,0,True
ZIMLAB,2024-07-29T00:00:00,114.41,117.45,111.98,115.8,266151,0,True
UNIDT,2024-07-29T00:00:00,236.0,243.29,236.0,238.39,19104,0,True
SARLAPOLY,2024-07-29T00:00:00,103.84,114.0,103.66,111.88,3092490,0,True
TRF,2024-07-29T00:00:00,538.0,539.3,519.95,521.35,30132,0,True
AUTOIND,2024-07-29T00:00:00,126.0,127.4,123.8,124.42,221686,0,True
MUTHOOTCAP,2024-07-29T00:00:00,337.2,341.3,335.0,336.65,61589,0,True
AYMSYNTEX,2024-07-29T00:00:00,122.7,128.5,121.0,124.04,103964,0,True
NAHARPOLY,2024-07-29T00:00:00,299.2,311.7,297.63,305.56,69784,0,True
IITL,2024-07-29T00:00:00,182.0,189.56,178.67,181.25,23697,0,True
GOLDTECH,2024-07-29T00:00:00,155.99,158.8,136.72,138.22,740889,0,True
VENUSREM,2024-07-29T00:00:00,406.85,419.65,401.95,407.1,105606,0,True
WINDMACHIN,2024-07-29T00:00:00,177.0,181.79,166.7,169.16,282091,0,True
BPL,2024-07-29T00:00:00,129.7,132.87,127.0,130.51,98045,0,True
CYBERTECH,2024-07-29T00:00:00,195.0,201.15,195.0,195.82,330223,0,True
CINELINE,2024-07-29T00:00:00,132.5,132.5,126.99,131.11,66933,0,True
NIPPOBATRY,2024-07-29T00:00:00,580.0,598.7,580.0,588.15,12631,0,True
PREMIERPOL,2024-07-29T00:00:00,222.3,229.62,222.12,225.46,33645,0,True
RPPINFRA,2024-07-29T00:00:00,199.7,202.5,192.02,196.0,411561,0,True
SEJALLTD,2024-07-29T00:00:00,361.8,363.65,342.15,345.0,2485,0,True
SHEMAROO,2024-07-29T00:00:00,162.8,166.85,162.4,163.36,38670,0,True
IFBAGRO,2024-07-29T00:00:00,573.9,575.0,560.0,560.15,2579,0,True
DICIND,2024-07-29T00:00:00,555.8,558.8,540.6,543.75,7975,0,True
PRECOT,2024-07-29T00:00:00,489.0,505.0,482.0,493.25,1550,0,True
ASAHISONG,2024-07-29T00:00:00,480.0,493.85,456.35,493.85,180707,0,True
ORBTEXP,2024-07-29T00:00:00,178.05,179.87,175.07,178.07,9035,0,True
MODISONLTD,2024-07-29T00:00:00,158.0,161.01,156.8,161.01,112854,0,True
AURUM,2024-07-29T00:00:00,170.0,174.0,167.31,168.53,96832,0,True
SAHYADRI,2024-07-29T00:00:00,393.1,403.5,393.1,399.6,4148,0,True
UNIVPHOTO,2024-07-29T00:00:00,365.9,371.9,362.0,370.2,2357,0,True
SCPL,2024-07-29T00:00:00,432.0,439.9,427.55,433.0,17617,0,True
SIGMA,2024-07-29T00:00:00,413.5,415.9,401.95,404.85,4318,0,True
IZMO,2024-07-29T00:00:00,511.45,527.0,487.55,494.8,196723,0,True
SINTERCOM,2024-07-29T00:00:00,129.99,133.3,128.01,129.0,73144,0,True
PODDARMENT,2024-07-29T00:00:00,434.0,443.0,433.05,439.3,9513,0,True
DCMNVL,2024-07-29T00:00:00,256.14,264.85,255.2,263.79,42368,0,True
LYKALABS,2024-07-29T00:00:00,125.0,128.52,122.0,122.54,183336,0,True
STARPAPER,2024-07-29T00:00:00,247.55,249.45,245.0,245.9,19471,0,True
SRGHFL,2024-07-29T00:00:00,389.9,406.95,386.6,398.6,14087,0,True
PONNIERODE,2024-07-29T00:00:00,527.0,554.0,527.0,548.95,90501,0,True
KOTHARIPRO,2024-07-29T00:00:00,207.3,211.8,197.35,205.95,204838,0,True
HITECHCORP,2024-07-29T00:00:00,251.35,254.5,246.0,247.61,31547,0,True
URAVI,2024-07-29T00:00:00,610.0,610.0,576.85,580.35,11034,0,True
RUCHIRA,2024-07-29T00:00:00,137.9,137.99,134.85,136.18,75498,0,True
MAHEPC,2024-07-29T00:00:00,152.25,152.25,145.0,146.54,41407,0,True
MAWANASUG,2024-07-29T00:00:00,115.77,118.6,115.09,115.86,245199,0,True
RHL,2024-07-29T00:00:00,212.99,238.18,212.98,237.73,822475,0,True
NATHBIOGEN,2024-07-29T00:00:00,241.1,245.95,236.0,241.85,26241,0,True
EIFFL,2024-07-29T00:00:00,148.32,149.98,146.18,146.66,31127,0,True
UCAL,2024-07-29T00:00:00,163.9,167.5,163.51,166.33,32029,0,True
COASTCORP,2024-07-29T00:00:00,303.0,305.14,293.7,297.12,71471,0,True
BIL,2024-07-29T00:00:00,461.15,486.8,461.15,479.35,1840,0,True
ARIES,2024-07-29T00:00:00,284.0,286.9,275.95,276.85,62454,0,True
DYNPRO,2024-07-29T00:00:00,372.0,385.5,365.0,375.7,17517,0,True
MHLXMIRU,2024-07-29T00:00:00,204.0,209.8,199.75,204.97,36425,0,True
NDLVENTURE,2024-07-29T00:00:00,134.0,134.65,119.2,121.1,1502718,0,True
SMLT,2024-07-29T00:00:00,199.0,199.0,188.0,189.05,30568,0,True
HARRMALAYA,2024-07-29T00:00:00,236.4,250.99,230.81,244.55,290732,0,True
SOFTTECH,2024-07-29T00:00:00,340.15,367.55,340.15,348.55,10347,0,True
MANOMAY,2024-07-29T00:00:00,265.0,273.5,249.55,261.75,98697,0,True
REPL,2024-07-29T00:00:00,184.15,196.92,183.0,190.31,85410,0,True
SHREYANIND,2024-07-29T00:00:00,299.15,319.05,296.8,299.75,101647,0,True
TIPSFILMS,2024-07-29T00:00:00,551.45,551.45,516.55,519.1,19086,0,True
SOUTHWEST,2024-07-29T00:00:00,106.8,107.5,104.5,104.86,241464,0,True
TRIGYN,2024-07-29T00:00:00,138.88,139.0,134.25,135.13,42408,0,True
EMKAY,2024-07-29T00:00:00,175.95,178.95,172.88,176.8,23364,0,True
INDOTHAI,2024-07-29T00:00:00,285.0,285.0,264.0,268.4,33809,0,True
RAMAPHO,2024-07-29T00:00:00,188.4,198.0,188.4,196.1,48375,0,True
LORDSCHLO,2024-07-29T00:00:00,133.09,137.99,132.0,132.39,9944,0,True
TEMBO,2024-07-29T00:00:00,225.0,226.77,222.01,223.72,42683,0,True
ZODIACLOTH,2024-07-29T00:00:00,136.85,136.85,133.0,134.42,9356,0,True
AARON,2024-07-29T00:00:00,270.0,314.5,265.05,294.55,554122,0,True
JAYSREETEA,2024-07-29T00:00:00,125.0,130.74,125.0,127.61,372221,0,True
INTENTECH,2024-07-29T00:00:00,156.0,160.0,151.5,152.36,41889,0,True
PAR,2024-07-29T00:00:00,246.0,248.83,241.5,242.86,16573,0,True
MEGASTAR,2024-07-29T00:00:00,308.9,309.0,292.0,293.5,7703,0,True
BHAGYANGR,2024-07-29T00:00:00,111.45,117.68,111.11,112.09,218445,0,True
TARACHAND,2024-07-29T00:00:00,460.0,463.25,448.0,463.25,50182,0,True
ASIANHOTNR,2024-07-29T00:00:00,213.0,213.12,201.3,204.76,8532,0,True
SVLL,2024-07-29T00:00:00,237.5,239.78,218.51,225.88,10736,0,True
GUJAPOLLO,2024-07-29T00:00:00,275.05,282.8,273.0,275.63,20334,0,True
NURECA,2024-07-29T00:00:00,266.45,269.85,266.25,266.7,14121,0,True
STARTECK,2024-07-29T00:00:00,265.0,276.95,265.0,275.0,307,0,True
RKEC,2024-07-29T00:00:00,126.69,126.69,126.69,126.69,23233,0,True
LOYALTEX,2024-07-29T00:00:00,586.35,606.4,575.9,594.75,1550,0,True
KAPSTON,2024-07-29T00:00:00,399.0,399.0,376.0,379.15,4199,0,True
THOMASCOTT,2024-07-29T00:00:00,269.95,271.75,269.95,271.75,1307,0,True
PPAP,2024-07-29T00:00:00,214.8,217.94,209.23,210.79,23284,0,True
DELPHIFX,2024-07-29T00:00:00,226.27,226.27,220.0,226.27,17519,0,True
DCI,2024-07-29T00:00:00,372.99,393.0,364.0,380.71,42055,0,True
AHLEAST,2024-07-29T00:00:00,130.0,140.0,129.97,137.77,84766,0,True
VETO,2024-07-29T00:00:00,163.0,171.8,162.49,163.92,1517362,0,True
MANORG,2024-07-29T00:00:00,425.0,440.0,409.1,430.65,14402,0,True
AIROLAM,2024-07-29T00:00:00,132.99,132.99,121.55,126.05,133312,0,True
TTL,2024-07-29T00:00:00,115.2,129.9,115.2,126.99,980133,0,True
JMA,2024-07-29T00:00:00,107.59,108.53,105.0,105.91,37596,0,True
CORDSCABLE,2024-07-29T00:00:00,257.0,257.65,249.0,252.81,44928,0,True
DEVIT,2024-07-29T00:00:00,145.95,146.4,138.99,140.02,69216,0,True
IRIS,2024-07-29T00:00:00,286.11,286.11,285.98,285.98,11932,0,True
CROWN,2024-07-29T00:00:00,285.0,288.65,276.0,288.65,39296,0,True
RANEENGINE,2024-07-29T00:00:00,393.9,405.0,393.9,403.4,9053,0,True
OMAXAUTO,2024-07-29T00:00:00,160.59,160.59,155.06,160.59,54045,0,True
TREJHARA,2024-07-29T00:00:00,182.0,189.9,177.5,185.57,31197,0,True
PRITI,2024-07-29T00:00:00,136.37,138.99,135.2,137.1,14159,0,True
SUPERHOUSE,2024-07-29T00:00:00,230.8,241.52,230.8,239.32,85547,0,True
ALPHAGEO,2024-07-29T00:00:00,466.0,473.0,458.3,460.3,9684,0,True
LAGNAM,2024-07-29T00:00:00,160.0,165.0,158.65,160.48,47019,0,True
AKSHARCHEM,2024-07-29T00:00:00,329.3,358.75,329.3,348.05,102233,0,True
ASPINWALL,2024-07-29T00:00:00,284.0,315.9,283.7,296.8,121838,0,True
DTIL,2024-07-29T00:00:00,234.9,238.3,231.0,233.12,19348,0,True
KANPRPLA,2024-07-29T00:00:00,115.8,119.65,115.79,118.17,80661,0,True
MAHAPEXLTD,2024-07-29T00:00:00,168.0,168.0,160.1,162.1,18753,0,True
DJML,2024-07-29T00:00:00,326.75,327.05,312.0,320.55,9867,0,True
SHIVATEX,2024-07-29T00:00:00,191.1,198.89,191.01,192.4,42382,0,True
DHRUV,2024-07-29T00:00:00,130.45,132.0,130.0,130.0,7748,0,True
NITIRAJ,2024-07-29T00:00:00,286.2,286.2,286.2,286.2,3656,0,True
ATAM,2024-07-29T00:00:00,189.01,197.73,183.0,188.57,438728,0,True
AARVI,2024-07-29T00:00:00,152.0,152.0,140.33,141.51,89367,0,True
WEIZMANIND,2024-07-29T00:00:00,118.5,121.73,116.25,117.09,19826,0,True
GLOBALVECT,2024-07-29T00:00:00,295.54,295.54,285.0,295.54,38759,0,True
SMARTLINK,2024-07-29T00:00:00,295.75,295.75,285.3,292.35,1676,0,True
XELPMOC,2024-07-29T00:00:00,115.0,118.9,112.5,115.1,30049,0,True
UMANGDAIRY,2024-07-29T00:00:00,133.27,134.0,127.0,130.33,60356,0,True
BSL,2024-07-29T00:00:00,210.5,210.5,207.0,207.96,16418,0,True
MAHASTEEL,2024-07-29T00:00:00,105.99,109.75,105.05,107.5,65344,0,True
CTE,2024-07-29T00:00:00,119.0,123.92,117.0,119.4,26117,0,True
AARTECH,2024-07-29T00:00:00,215.27,215.27,200.0,215.26,96878,0,True
SALONA,2024-07-29T00:00:00,307.2,315.0,302.8,306.6,3917,0,True
LOVABLE,2024-07-29T00:00:00,158.9,171.0,156.83,159.13,1020989,0,True
ISFT,2024-07-29T00:00:00,136.94,139.0,134.8,136.33,69212,0,True
IVP,2024-07-29T00:00:00,208.75,209.01,200.3,204.03,11063,0,True
WORTH,2024-07-29T00:00:00,133.8,140.0,133.8,137.94,195911,0,True
EMMBI,2024-07-29T00:00:00,109.0,110.42,107.01,107.74,45007,0,True
ARVEE,2024-07-29T00:00:00,180.5,180.5,176.0,176.92,377,0,True
UNITEDTEA,2024-07-29T00:00:00,431.9,447.45,422.2,426.3,7350,0,True
UNIVASTU,2024-07-29T00:00:00,171.1,180.0,171.1,179.39,4422,0,True
SOMICONVEY,2024-07-29T00:00:00,197.66,201.65,197.66,199.0,5134,0,True
KAKATCEM,2024-07-29T00:00:00,244.9,247.9,235.1,235.8,23315,0,True
BHARATGEAR,2024-07-29T00:00:00,110.1,110.74,108.92,109.26,62986,0,True
CAPTRUST,2024-07-29T00:00:00,147.3,148.75,140.31,141.2,105344,0,True
TOTAL,2024-07-29T00:00:00,110.5,116.02,110.5,116.02,94142,0,True
MITCON,2024-07-29T00:00:00,142.95,143.0,140.5,140.98,23885,0,True
TOUCHWOOD,2024-07-29T00:00:00,139.94,139.95,136.12,136.88,3011,0,True
JOCIL,2024-07-29T00:00:00,196.0,196.89,194.06,195.56,9160,0,True
VAISHALI,2024-07-29T00:00:00,161.4,166.0,156.0,156.93,37353,0,True
KALYANIFRG,2024-07-29T00:00:00,577.35,577.35,551.0,553.8,1467,0,True
RELCHEMQ,2024-07-29T00:00:00,235.9,241.8,232.51,237.32,15380,0,True
INDIANCARD,2024-07-29T00:00:00,285.0,285.0,275.55,278.7,8852,0,True
MANGALAM,2024-07-29T00:00:00,111.4,114.0,109.1,112.24,113393,0,True
PALREDTEC,2024-07-29T00:00:00,111.99,111.99,103.55,107.16,30523,0,True
BALPHARMA,2024-07-29T00:00:00,117.0,119.95,116.96,118.27,19906,0,True
LAMBODHARA,2024-07-29T00:00:00,185.99,185.99,172.0,173.77,310388,0,True
CUBEXTUB,2024-07-29T00:00:00,116.31,116.31,116.31,116.31,4469,0,True
AHLADA,2024-07-29T00:00:00,114.25,114.7,111.15,113.38,28749,0,True
HPIL,2024-07-29T00:00:00,165.31,165.31,160.21,161.19,2832,0,True
PANSARI,2024-07-29T00:00:00,147.51,147.51,147.51,147.51,13404,0,True
S&SPOWER,2024-07-29T00:00:00,367.2,367.2,367.2,367.2,4131,0,True
AGRITECH,2024-07-29T00:00:00,260.4,260.4,242.25,243.6,133489,0,True
DCM,2024-07-29T00:00:00,109.0,111.76,104.2,106.87,384962,0,True
SHRADHA,2024-07-29T00:00:00,126.0,130.56,125.5,130.56,16533,0,True
WIPL,2024-07-29T00:00:00,156.3,159.02,154.03,157.61,6861,0,True
PALASHSECU,2024-07-29T00:00:00,140.0,140.0,135.95,138.3,4442,0,True
TAINWALCHM,2024-07-29T00:00:00,201.0,213.84,201.0,213.65,11358,0,True
GANGESSECU,2024-07-29T00:00:00,173.0,173.0,165.0,165.46,10770,0,True
SIKKO,2024-07-29T00:00:00,116.0,118.89,114.0,115.49,121264,0,True
AVROIND,2024-07-29T00:00:00,115.0,119.36,113.96,116.1,31210,0,True
ALKALI,2024-07-29T00:00:00,136.0,136.0,130.0,131.34,65148,0,True
AAATECH,2024-07-29T00:00:00,103.22,107.0,103.22,105.87,57703,0,True
BANKA,2024-07-29T00:00:00,128.61,128.61,128.0,128.5,29617,0,True
KEYFINSERV,2024-07-29T00:00:00,284.5,299.0,278.33,282.27,12212,0,True
PKTEA,2024-07-29T00:00:00,405.05,416.45,395.05,403.65,276,0,True
HISARMETAL,2024-07-29T00:00:00,199.32,204.4,199.21,200.52,5351,0,True
SECMARK,2024-07-29T00:00:00,100.0,102.88,99.95,100.16,1024,0,True
TOKYOPLAST,2024-07-29T00:00:00,116.5,120.0,115.0,116.05,16797,0,True
ZENITHEXPO,2024-07-29T00:00:00,292.05,308.25,292.05,298.2,4945,0,True
PANACHE,2024-07-29T00:00:00,126.0,128.52,126.0,128.52,6420,0,True
PIGL,2024-07-29T00:00:00,105.18,105.18,105.18,105.18,26188,0,True
TIMESGTY,2024-07-29T00:00:00,130.6,133.59,130.0,130.12,1864,0,True
HECPROJECT,2024-07-29T00:00:00,111.85,111.85,111.85,111.85,4696,0,True
HBSL,2024-07-29T00:00:00,153.5,165.71,146.65,162.42,120928,0,True
BANARBEADS,2024-07-29T00:00:00,104.34,104.34,100.51,100.86,13864,0,True
LFIC,2024-07-29T00:00:00,216.0,216.0,207.32,209.34,12397,0,True
KALYANI,2023-02-21T00:00:00,125.25,125.25,125.25,125.25,30,0,True
NIRAJISPAT,2024-03-14T00:00:00,191.4,191.4,191.4,191.4,12,0,True
